,visual acuity,side,year,age,gender,n
360,"[0.0, 0.15)",right,2013,"[0.0, 20.0)",male,187
361,"[0.0, 0.15)",right,2013,"[0.0, 20.0)",female,232
362,"[0.0, 0.15)",right,2013,"[20.0, 25.0)",male,842
363,"[0.0, 0.15)",right,2013,"[20.0, 25.0)",female,2234
364,"[0.0, 0.15)",right,2013,"[25.0, 30.0)",male,2513
365,"[0.0, 0.15)",right,2013,"[25.0, 30.0)",female,4408
366,"[0.0, 0.15)",right,2013,"[30.0, 35.0)",male,3709
367,"[0.0, 0.15)",right,2013,"[30.0, 35.0)",female,3314
368,"[0.0, 0.15)",right,2013,"[35.0, 40.0)",male,2703
369,"[0.0, 0.15)",right,2013,"[35.0, 40.0)",female,1828
370,"[0.0, 0.15)",right,2013,"[40.0, 45.0)",male,3082
371,"[0.0, 0.15)",right,2013,"[40.0, 45.0)",female,4018
372,"[0.0, 0.15)",right,2013,"[45.0, 50.0)",male,3921
373,"[0.0, 0.15)",right,2013,"[45.0, 50.0)",female,5108
374,"[0.0, 0.15)",right,2013,"[50.0, 55.0)",male,5029
375,"[0.0, 0.15)",right,2013,"[50.0, 55.0)",female,8390
376,"[0.0, 0.15)",right,2013,"[55.0, 60.0)",male,4164
377,"[0.0, 0.15)",right,2013,"[55.0, 60.0)",female,7322
378,"[0.0, 0.15)",right,2013,"[60.0, 65.0)",male,5017
379,"[0.0, 0.15)",right,2013,"[60.0, 65.0)",female,9187
380,"[0.0, 0.15)",right,2013,"[65.0, 70.0)",male,2627
381,"[0.0, 0.15)",right,2013,"[65.0, 70.0)",female,4018
382,"[0.0, 0.15)",right,2013,"[70.0, 75.0)",male,7607
383,"[0.0, 0.15)",right,2013,"[70.0, 75.0)",female,12947
384,"[0.0, 0.15)",right,2013,"[75.0, 80.0)",male,4606
385,"[0.0, 0.15)",right,2013,"[75.0, 80.0)",female,8248
386,"[0.0, 0.15)",right,2013,"[80.0, 85.0)",male,3288
387,"[0.0, 0.15)",right,2013,"[80.0, 85.0)",female,6710
